Date_(AA-MM-JJ),Trait.,Placette,Bloc,Arbre,Num,Localisation,Evernia_sp.,Usnea_sp.,Bryoria_sp.
11 juin 2022,3_ans,69,A,Ab1,35,SE2,,5.97,
11 juin 2022,3_ans,69,A,Ab2,36,S2,,7.96,
11 juin 2022,3_ans,69,A,P1,38,S8,0.07,8.46,0.03
11 juin 2022,3_ans,69,A,P2,31,SE12,,1,0.03
11 juin 2022,3_ans,69,B,Ab1,1,N1,,5.97,
11 juin 2022,3_ans,69,B,Ab2,62,NW1,0.07,5.97,
11 juin 2022,3_ans,69,B,P1,80,N7,,1,0.45
11 juin 2022,3_ans,69,B,P2,2,N7,,1,0.3
11 juin 2022,3_ans,69,C,Ab1,27,SE1,,3.48,
11 juin 2022,3_ans,69,C,Ab2,55,NW2,,4.98,0.15
11 juin 2022,3_ans,69,C,P1,41,SW7,,0.3,0.3
11 juin 2022,3_ans,69,C,P2,42,SW8,,0.5,0.45
22 juin 2022,2_ans,74,A,Ab1,83,NO5,,1,0.3
22 juin 2022,2_ans,74,A,Ab2,17,E3,,2.99,0.15
22 juin 2022,2_ans,74,A,P1,93,N6,,1,
22 juin 2022,2_ans,74,A,P2,92,O6,,1,0.15
6 juin 2022,2_ans,74,B,Ab1,31,N2,,24.89,
6 juin 2022,2_ans,74,B,Ab2,17,E2,,6.97,
6 juin 2022,2_ans,74,B,P1,19,SE7,,2.99,
6 juin 2022,2_ans,74,B,P2,44,N9,,23.89,1.05
6 juin 2022,2_ans,74,C,Ab1,10,E2,,7.96,
6 juin 2022,2_ans,74,C,Ab2,1,NW2,,1.99,
6 juin 2022,2_ans,74,C,P1,18,SE3,0.07,5.97,
6 juin 2022,2_ans,74,C,P2,47,W4,,0.5,
7 juin 2022,Aucun,87,A,Ab1,74,N2,,0.5,
7 juin 2022,Aucun,87,A,Ab2,19,NE4,,1.99,
7 juin 2022,Aucun,87,A,P1,73,NW2,,0.2,0.07
7 juin 2022,Aucun,87,A,P2,21,E1,,0.1,0.22
7 juin 2022,Aucun,87,B,Ab1,69,W1,,0.2,0.01
7 juin 2022,Aucun,87,B,Ab2,40,SE3,,1,
7 juin 2022,Aucun,87,B,P1,50,S6,,0.5,0.22
7 juin 2022,Aucun,87,B,P2,67,W5,,0.2,0.03
7 juin 2022,Aucun,87,C,Ab1,73,W4,,2.99,0.15
7 juin 2022,Aucun,87,C,Ab2,55,SW5,,0.5,0.07
7 juin 2022,Aucun,87,C,P1,1,N2,0.07,0.2,0.37
7 juin 2022,Aucun,87,C,P2,93,N2,,0.4,0.75
7 juin 2022,Aucun,93,A,Ab1,28,E1,,1.99,1.05
7 juin 2022,Aucun,93,A,Ab2,44,S2,,4.98,0.15
7 juin 2022,Aucun,93,A,P1,4,NE8,,1,0.07
7 juin 2022,Aucun,93,A,P2,13,E10,,0.75,1.64
7 juin 2022,Aucun,93,B,Ab1,33,SW1,,5.97,
7 juin 2022,Aucun,93,B,Ab2,46,S1,,7.96,
7 juin 2022,Aucun,93,B,P1,1,N2,,1.49,
7 juin 2022,Aucun,93,B,P2,11,W2,,5.97,0.15
7 juin 2022,Aucun,93,C,Ab1,70,NW2,,1.99,0.6
7 juin 2022,Aucun,93,C,Ab2,47,S2,,3.48,0.15
7 juin 2022,Aucun,93,C,P1,32,SE2,,0.5,
7 juin 2022,Aucun,93,C,P2,35,SE8,,4.98,0.07
23 juin 2022,2_ans,106,A,Ab1,1,N5,,2.99,0.01
23 juin 2022,2_ans,106,A,Ab2,67,SO1,,3.98,0.07
23 juin 2022,2_ans,106,A,P1,68,O2,,1.99,
23 juin 2022,2_ans,106,A,P2,86,O8,,2.99,0.15
23 juin 2022,2_ans,106,B,Ab1,14,E3,,2.49,0.07
23 juin 2022,2_ans,106,B,Ab2,16,E6,,1.99,
23 juin 2022,2_ans,106,B,P1,12,N4,,0.1,
23 juin 2022,2_ans,106,B,P2,11,NE5,,1.99,
23 juin 2022,2_ans,106,C,Ab1,92,NO8,,0.1,
23 juin 2022,2_ans,106,C,Ab2,72,O3,,0.3,
23 juin 2022,2_ans,106,C,P1,40,S3,,0.1,
23 juin 2022,2_ans,106,C,P2,42,S3,,,
23 juin 2022,Intensif,119,A,Ab1,1,N2,,1,
23 juin 2022,Intensif,119,A,Ab2,27,E3,,0.1,
23 juin 2022,Intensif,119,A,P1,38,E8,,,
23 juin 2022,Intensif,119,A,P2,46,SE9,,0.2,
23 juin 2022,Intensif,119,B,Ab1,39,E1,,0.5,
23 juin 2022,Intensif,119,B,Ab2,87,O1,0.33,1,
23 juin 2022,Intensif,119,B,P1,88,O1,,0.1,
23 juin 2022,Intensif,119,B,P2,86,O2,,0.3,
23 juin 2022,Intensif,119,C,Ab1,56,S1,,1,
23 juin 2022,Intensif,119,C,Ab2,20,E1,,,
23 juin 2022,Intensif,119,C,P1,1,NE7,,,
23 juin 2022,Intensif,119,C,P2,106,NE6,,,
23 juin 2022,Intensif,120,A,Ab1,92,O3,,0.1,
23 juin 2022,Intensif,120,A,Ab2,17,NE3,,0.2,
23 juin 2022,Intensif,120,A,P1,120,NE6,,0.1,
23 juin 2022,Intensif,120,A,P2,90,E9,,0.4,
23 juin 2022,Intensif,120,B,Ab1,1,N1,,0.1,
23 juin 2022,Intensif,120,B,Ab2,122,N6,,0.1,0.03
23 juin 2022,Intensif,120,B,P1,111,N8,,,
23 juin 2022,Intensif,120,B,P2,112,N8,,,
23 juin 2022,Intensif,120,C,Ab1,54,SE1,,0.1,
23 juin 2022,Intensif,120,C,Ab2,1,N2,,,
23 juin 2022,Intensif,120,C,P1,104,N10,,0.1,
23 juin 2022,Intensif,120,C,P2,18,E6,,,
8 juin 2022,3_ans,121,A,Ab1,25,SE2,,0.2,0.01
8 juin 2022,3_ans,121,A,Ab2,1,N3,,0.4,0.07
8 juin 2022,3_ans,121,A,P1,58,W2,,,0.04
8 juin 2022,3_ans,121,A,P2,74,NW6,,0.1,
8 juin 2022,3_ans,121,B,Ab1,30,E2,,0.5,
8 juin 2022,3_ans,121,B,Ab2,31,SE2,,,
8 juin 2022,3_ans,121,B,P1,1,N3,,0.2,
8 juin 2022,3_ans,121,B,P2,49,SW5,,0.2,
8 juin 2022,3_ans,121,C,Ab1,102,N1,,0.2,
8 juin 2022,3_ans,121,C,Ab2,101,NW2,0.07,0.1,0.04
8 juin 2022,3_ans,121,C,Ab3,33,SE3,,0.4,
8 juin 2022,3_ans,121,C,Ab4,12,E2,,0.1,
