Date_(AA-MM-JJ),Trait.,Placette,Bloc,Micro.plac.,PAI
23 juin 2022,Intensif,120,A,E6,3.63
23 juin 2022,Intensif,120,A,N6,4.31
23 juin 2022,Intensif,120,A,O6,3.74
23 juin 2022,Intensif,120,A,S6,3.86
23 juin 2022,Intensif,120,B,E6,3.93
23 juin 2022,Intensif,120,B,N6,3.68
23 juin 2022,Intensif,120,B,O6,3.51
23 juin 2022,Intensif,120,B,S6,5.36
23 juin 2022,Intensif,120,C,E6,3.33
23 juin 2022,Intensif,120,C,N6,4.05
23 juin 2022,Intensif,120,C,O6,4.06
23 juin 2022,Intensif,120,C,S6,3.99
8 juin 2022,3_ans,121,A,E6,2.32
8 juin 2022,3_ans,121,A,N6,2.29
8 juin 2022,3_ans,121,A,O6,2.46
8 juin 2022,3_ans,121,A,S6,1.98
8 juin 2022,3_ans,121,B,E6,2.15
8 juin 2022,3_ans,121,B,N6,2.53
8 juin 2022,3_ans,121,B,O6,2.31
8 juin 2022,3_ans,121,B,S6,2.68
8 juin 2022,3_ans,121,C,E6,2.57
8 juin 2022,3_ans,121,C,N6,2.38
8 juin 2022,3_ans,121,C,O6,2.54
8 juin 2022,3_ans,121,C,S6,2.44
